date,open,high,low,close,volume
2024-05-20 09:29:00,212.85,212.85,212.85,212.85,788
2024-05-20 09:30:00,213.14,213.57,213.14,213.46,14183
2024-05-20 09:31:00,213.04,213.04,212.5,212.5,1071
2024-05-20 09:32:00,212.6,212.71,212.6,212.71,200
2024-05-20 09:33:00,212.785,212.79,212.51,212.51,942
2024-05-20 09:34:00,212.51,212.8,212.51,212.54,500
2024-05-20 09:36:00,212.43,212.43,212.0,212.0,10236
2024-05-20 09:37:00,212.05,212.06,212.05,212.06,1000
2024-05-20 09:38:00,212.065,212.34,211.94,212.05,4312
2024-05-20 09:39:00,211.87,212.02,211.87,212.02,300
2024-05-20 09:40:00,212.12,212.12,212.12,212.12,210
2024-05-20 09:41:00,211.8765,211.8765,211.8765,211.8765,219
2024-05-20 09:43:00,212.155,212.155,212.155,212.155,129
2024-05-20 09:44:00,212.075,212.075,212.075,212.075,100
2024-05-20 09:45:00,212.08,212.26,211.93,211.93,4589
2024-05-20 09:47:00,212.1,212.11,212.1,212.11,355
2024-05-20 09:48:00,212.05,212.05,212.05,212.05,654
2024-05-20 09:49:00,212.17,212.245,212.055,212.21,5279
2024-05-20 09:50:00,212.21,212.21,212.12,212.12,1049
2024-05-20 09:51:00,212.175,212.175,212.175,212.175,300
2024-05-20 09:52:00,212.08,212.14,212.08,212.14,304
2024-05-20 09:53:00,212.07,212.145,212.04,212.145,2616
2024-05-20 09:54:00,212.155,212.2,212.11,212.16,1100
2024-05-20 09:55:00,212.11,212.115,212.08,212.115,2459
2024-05-20 09:56:00,212.115,212.23,212.115,212.2118,2545
2024-05-20 09:57:00,212.2075,212.2075,212.2075,212.2075,145
2024-05-20 09:58:00,212.145,212.145,212.145,212.145,844
2024-05-20 09:59:00,212.145,212.15,212.145,212.15,894
2024-05-20 10:00:00,212.15,212.15,212.07,212.07,474
2024-05-20 10:01:00,212.06,212.06,212.03,212.03,300
2024-05-20 10:02:00,212.04,212.21,212.03,212.06,9003
2024-05-20 10:03:00,212.125,212.125,212.1,212.1,300
2024-05-20 10:04:00,212.115,212.115,212.115,212.115,100
2024-05-20 10:05:00,212.09,212.09,211.9712,211.9712,258
2024-05-20 10:06:00,212.11,212.11,212.11,212.11,200
2024-05-20 10:08:00,212.09,212.09,211.91,211.95,2521
2024-05-20 10:09:00,211.82,212.08,211.82,211.955,1044
2024-05-20 10:10:00,211.955,211.9747,211.955,211.9747,431
2024-05-20 10:11:00,212.08,212.08,211.93,211.93,2517
2024-05-20 10:12:00,211.99,211.99,211.9,211.9,986
2024-05-20 10:13:00,212.0457,212.0457,212.0457,212.0457,197
2024-05-20 10:14:00,211.9,211.92,211.785,211.785,700
2024-05-20 10:15:00,211.76,211.85,211.73,211.85,1030
2024-05-20 10:16:00,211.81,211.8199,211.7,211.7,1022
2024-05-20 10:17:00,211.64,211.65,211.62,211.65,800
2024-05-20 10:18:00,211.58,211.58,211.555,211.555,271
2024-05-20 10:19:00,211.59,211.66,211.59,211.66,400
2024-05-20 10:21:00,211.69,211.69,211.59,211.59,600
2024-05-20 10:22:00,211.58,211.59,211.53,211.55,900
2024-05-20 10:23:00,211.53,211.55,211.45,211.55,867
2024-05-20 10:24:00,211.39,211.47,211.39,211.47,400
2024-05-20 10:25:00,211.48,211.56,211.48,211.56,1427
2024-05-20 10:26:00,211.56,211.63,211.56,211.63,1700
2024-05-20 10:27:00,211.63,211.6926,211.61,211.61,1521
2024-05-20 10:28:00,211.625,211.625,211.5702,211.5702,272
2024-05-20 10:29:00,211.625,211.71,211.59,211.69,2020
2024-05-20 10:30:00,211.695,211.87,211.695,211.87,1608
2024-05-20 10:31:00,211.88,211.88,211.88,211.88,100
2024-05-20 10:32:00,211.81,211.81,211.81,211.81,100
2024-05-20 10:33:00,211.835,211.835,211.835,211.835,100
2024-05-20 10:34:00,211.84,211.87,211.84,211.87,450
2024-05-20 10:35:00,211.79,211.79,211.77,211.78,300
2024-05-20 10:36:00,211.78,211.83,211.78,211.81,500
2024-05-20 10:37:00,211.78,211.78,211.78,211.78,243
2024-05-20 10:38:00,211.7,211.77,211.55,211.55,700
2024-05-20 10:39:00,211.53,211.57,211.46,211.46,1100
2024-05-20 10:40:00,211.46,211.56,211.46,211.46,800
2024-05-20 10:41:00,211.41,211.45,211.38,211.45,300
2024-05-20 10:42:00,211.396,211.42,211.396,211.42,400
2024-05-20 10:44:00,211.29,211.29,211.29,211.29,100
2024-05-20 10:45:00,211.29,211.375,211.29,211.29,1040
2024-05-20 10:46:00,211.33,211.4,211.2,211.2,2788
2024-05-20 10:47:00,211.21,211.5939,211.21,211.5939,7876
2024-05-20 10:48:00,211.58,211.67,211.58,211.62,600
2024-05-20 10:49:00,211.57,211.57,211.57,211.57,300
2024-05-20 10:50:00,211.57,211.82,211.56,211.82,1369
2024-05-20 10:51:00,211.7834,211.7834,211.7834,211.7834,724
2024-05-20 10:52:00,211.85,211.85,211.85,211.85,100
2024-05-20 10:53:00,211.855,211.855,211.855,211.855,214
2024-05-20 10:54:00,211.86,211.86,211.86,211.86,512
2024-05-20 10:55:00,211.81,211.81,211.785,211.785,200
2024-05-20 10:56:00,211.6075,211.76,211.6075,211.76,1900
2024-05-20 10:57:00,211.76,211.85,211.76,211.85,800
2024-05-20 10:59:00,211.86,211.86,211.86,211.86,300
2024-05-20 11:00:00,211.77,211.77,211.77,211.77,100
2024-05-20 11:01:00,211.81,211.99,211.81,211.93,1925
2024-05-20 11:02:00,211.93,212.04,211.93,212.04,961
2024-05-20 11:03:00,212.12,212.12,212.065,212.065,200
2024-05-20 11:05:00,212.13,212.13,212.13,212.13,100
2024-05-20 11:06:00,212.25,212.34,212.16,212.22,3997
2024-05-20 11:07:00,212.2299,212.2299,212.08,212.08,724
2024-05-20 11:09:00,212.09,212.21,212.09,212.1825,1656
2024-05-20 11:10:00,212.15,212.2384,212.145,212.145,767
2024-05-20 11:11:00,212.15,212.3382,212.15,212.32,4187
2024-05-20 11:12:00,212.2201,212.3424,212.2201,212.265,5580
2024-05-20 11:13:00,212.285,212.365,212.285,212.365,1614
2024-05-20 11:14:00,212.35,212.41,212.35,212.36,3773
2024-05-20 11:15:00,212.36,212.36,212.24,212.265,4625
2024-05-20 11:16:00,212.27,212.27,212.25,212.25,1444
2024-05-20 11:17:00,212.28,212.28,212.17,212.17,1411
2024-05-20 11:18:00,212.22,212.68,212.22,212.68,4056
2024-05-20 11:19:00,212.61,212.66,212.61,212.63,1675
2024-05-20 11:20:00,212.62,212.62,212.53,212.59,800
2024-05-20 11:21:00,212.53,212.57,212.34,212.385,1103
2024-05-20 11:22:00,212.36,212.45,212.34,212.34,3355
2024-05-20 11:23:00,212.46,212.55,212.4,212.54,5261
2024-05-20 11:24:00,212.505,212.625,212.505,212.55,2646
2024-05-20 11:25:00,212.58,212.61,212.55,212.55,414
2024-05-20 11:26:00,212.595,212.595,212.51,212.51,2385
2024-05-20 11:27:00,212.525,212.525,212.45,212.45,200
2024-05-20 11:28:00,212.54,212.6849,212.54,212.6849,1121
2024-05-20 11:29:00,212.64,212.64,212.6,212.6,400
2024-05-20 11:30:00,212.64,212.6582,212.565,212.565,734
2024-05-20 11:31:00,212.57,212.58,212.57,212.58,500
2024-05-20 11:32:00,212.56,212.66,212.445,212.46,6889
2024-05-20 11:33:00,212.49,212.49,212.44,212.45,2965
2024-05-20 11:34:00,212.48,212.48,212.48,212.48,200
